127.0.0.1 - - [16/Sep/2025:10:30:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:45 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:46 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:48 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:50 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:52 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:52 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9634
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:52 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40313
0:0:0:0:0:0:0:1 - - [16/Sep/2025:11:53:54 +0530] "GET /PurchaseOrder/favicon.ico HTTP/1.1" 404 780
192.168.1.48 - - [16/Sep/2025:11:54:17 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10903
192.168.1.48 - - [16/Sep/2025:11:54:17 +0530] "GET /PurchaseOrder/purchaseorder.css HTTP/1.1" 200 9634
192.168.1.48 - - [16/Sep/2025:11:54:17 +0530] "GET /PurchaseOrder/purchaseorder.js HTTP/1.1" 200 40313
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:00:34 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=3 HTTP/1.1" 200 10881
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:00:34 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:00:42 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10903
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:00:48 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10903
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:06:19 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10903
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:14:52 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10903
0:0:0:0:0:0:0:1 - - [16/Sep/2025:12:14:55 +0530] "GET /PurchaseOrder/ViewPurchaseorder?page=1 HTTP/1.1" 200 10903
